Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow
438847706,"Nov 24, 2015, 10:58:16 PM",After school ride,Ride,,3066,19.79,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/438847706.gpx,55.0,11.0,3066.0,2924.0,19798.80078125,15.699999809265137,,58.298500061035156,,0.0,27.399999618530273,38.79999923706055,0.005555890034884214,,,,,,,,119.61699676513672,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
439433195,"Nov 25, 2015, 10:54:58 PM",Afternoon Ride,Ride,,3146,19.50,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/439433195.gpx,55.0,11.0,3146.0,2849.0,19505.80078125,12.0,,10.703200340270996,,0.0,11.800000190734863,38.70000076293945,-0.029222099110484123,,,,,,,,117.26100158691406,372.4953918457031,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
440040771,"Nov 26, 2015, 11:32:32 PM",Afternoon Ride,Ride,Now I'm having a cramp...,3660,22.30,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/440040771.gpx,55.0,11.0,3660.0,3540.0,22303.30078125,10.800000190734863,,0.0,2.4000000953674316,1.100000023841858,11.300000190734863,23.799999237060547,-0.010760700330138206,,,,,,,,110.05400085449219,434.3941345214844,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
443897431,"Dec 3, 2015, 10:55:20 PM",Super windy day and had a cramp leg during the ride :/,Ride,,2097,11.15,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/443897431.gpx,55.0,11.0,2097.0,1869.0,11158.7998046875,11.399999618530273,,58.13880157470703,,0.0,27.399999618530273,48.70000076293945,-0.01702689938247204,,,,,,,,112.11599731445312,233.6424560546875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
449831973,"Dec 13, 2015, 11:14:48 PM",Afternoon Ride,Ride,,4615,18.25,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/449831973.gpx,55.0,11.0,4615.0,3485.0,18258.30078125,13.600000381469727,,99.43219757080078,107.83219909667969,-1.0,87.0,9.600000381469727,-0.04600650072097778,,,,,,,,93.02230072021484,361.4637145996094,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
450351523,"Dec 15, 2015, 12:22:32 AM",Flat tire Ride,Ride,"",204,1.48,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/450351523.gpx,60.0,11.0,204.0,182.0,1484.0,10.699999809265137,,0.0,,1.2000000476837158,10.600000381469727,4.800000190734863,0.06738539785146713,,,,,,,,182.30799865722656,36.99576187133789,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
455762065,"Dec 24, 2015, 5:08:53 PM",Suffering...,Ride,,14251,64.73,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/455762065.gpx,60.0,11.0,14251.0,9660.0,64730.5,17.0,,681.0999755859375,,-2.700000047683716,107.5,48.599998474121094,0.003862170036882162,,,,,,,,143.7480010986328,1548.2952880859375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
488917520,"Feb 8, 2016, 3:24:25 PM",Morning Ride,Ride,recovery ride. no climbing.,8448,53.33,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/488917520.gpx,60.0,11.0,8448.0,7408.0,53329.6015625,19.200000762939453,,41.82360076904297,50.32360076904297,-1.0,42.20000076293945,24.700000762939453,-0.01593860052525997,,,,,,,,128.156005859375,1058.558349609375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
515370618,"Mar 12, 2016, 8:25:09 PM",Rainy Ride,Ride,,12560,67.33,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/515370618.gpx,60.0,11.0,12560.0,9376.0,67332.3984375,13.699999809265137,,160.04600524902344,156.9459991455078,-1.100000023841858,27.600000381469727,49.0,0.004604020155966282,,,,,,,,124.12899780273438,1297.67431640625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
518964577,"Mar 16, 2016, 6:25:36 PM",Seawall ride,Ride,,12178,35.21,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/518964577.gpx,60.0,11.0,12178.0,7365.0,35210.69921875,13.100000381469727,,451.39599609375,410.39599609375,-1.0,93.4000015258789,49.900001525878906,0.1164420023560524,,,,,,,,108.52999877929688,891.2456665039062,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
